2017-12-27 22:41:55.069601: softmax classifer
2017-12-27 22:41:55.069658: Learning rates LR: 50.000000 
2017-12-27 22:47:40.440064: Iter: 8800 [0], loss: 1448660.000000, acc: 0.00%, avg_loss: 5326621.211172, avg_acc: 39.83%
2017-12-27 22:47:48.161045: Iter: 9000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5346359.489980, avg_acc: 39.87%
2017-12-27 22:47:55.950285: Iter: 9200 [0], loss: 11826852.000000, acc: 0.00%, avg_loss: 5323069.271611, avg_acc: 40.03%
2017-12-27 22:48:03.645371: Iter: 9400 [0], loss: 9367622.000000, acc: 0.00%, avg_loss: 5316819.291204, avg_acc: 40.18%
2017-12-27 22:48:11.350512: Iter: 9600 [0], loss: 486502.000000, acc: 0.00%, avg_loss: 5286190.779929, avg_acc: 40.45%
2017-12-27 22:48:19.043411: Iter: 9800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5253018.937124, avg_acc: 40.66%
2017-12-27 22:48:26.760311: Iter: 10000 [0], loss: 19685190.000000, acc: 0.00%, avg_loss: 5253650.348082, avg_acc: 40.76%
2017-12-27 22:48:34.483877: Iter: 10200 [0], loss: 2294732.000000, acc: 0.00%, avg_loss: 5234517.034982, avg_acc: 40.99%
2017-12-27 22:48:42.190989: Iter: 10400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5225644.867771, avg_acc: 41.22%
2017-12-27 22:48:49.903586: Iter: 10600 [0], loss: 8713174.000000, acc: 0.00%, avg_loss: 5197373.801587, avg_acc: 41.43%
2017-12-27 22:48:57.614565: Iter: 10800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5164604.250238, avg_acc: 41.76%
2017-12-27 22:49:05.356064: Iter: 11000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5179678.362415, avg_acc: 41.77%
2017-12-27 22:49:13.108294: Iter: 11200 [0], loss: 3702929.000000, acc: 0.00%, avg_loss: 5165369.999113, avg_acc: 41.86%
2017-12-27 22:49:20.842386: Iter: 11400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5153472.058690, avg_acc: 42.05%
2017-12-27 22:49:28.566130: Iter: 11600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5135933.854445, avg_acc: 42.28%
2017-12-27 22:49:36.240751: Iter: 11800 [0], loss: 16570656.000000, acc: 0.00%, avg_loss: 5136881.497294, avg_acc: 42.41%
2017-12-27 22:49:43.998161: Iter: 12000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5119464.576235, avg_acc: 42.58%
2017-12-27 22:49:43.998366: 
Epoch 0: avg_Loss: 5119891.233837601729, avg_Acc: 42.586882240187
2017-12-27 22:49:43.998405: Learning rates changed LR: 1.000000 
2017-12-27 22:49:52.413624: Iter: 12200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 5774095.556250, avg_acc: 38.00%
2017-12-27 22:50:00.124309: Iter: 12400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3725794.410625, avg_acc: 53.25%
2017-12-27 22:50:07.934785: Iter: 12600 [1], loss: 3162940.500000, acc: 0.00%, avg_loss: 2994768.926250, avg_acc: 58.50%
2017-12-27 22:50:15.665014: Iter: 12800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2476673.759063, avg_acc: 62.38%
2017-12-27 22:50:23.482359: Iter: 13000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2183727.256750, avg_acc: 64.70%
2017-12-27 22:50:31.816701: Iter: 13200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 2020299.187500, avg_acc: 66.08%
2017-12-27 22:50:39.419997: Iter: 13400 [1], loss: 8179944.000000, acc: 0.00%, avg_loss: 1878548.954107, avg_acc: 67.43%
2017-12-27 22:50:47.027989: Iter: 13600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1819482.438594, avg_acc: 67.31%
2017-12-27 22:50:54.665733: Iter: 13800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1715089.828611, avg_acc: 68.06%
2017-12-27 22:51:02.320468: Iter: 14000 [1], loss: 474233.000000, acc: 0.00%, avg_loss: 1668775.221250, avg_acc: 68.10%
2017-12-27 22:51:09.992774: Iter: 14200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1592315.369318, avg_acc: 68.77%
2017-12-27 22:51:17.708842: Iter: 14400 [1], loss: 3919497.500000, acc: 0.00%, avg_loss: 1534869.865729, avg_acc: 69.38%
2017-12-27 22:51:25.419743: Iter: 14600 [1], loss: 1353891.000000, acc: 0.00%, avg_loss: 1488532.014904, avg_acc: 69.81%
2017-12-27 22:51:33.149922: Iter: 14800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1447720.933661, avg_acc: 70.11%
2017-12-27 22:51:40.842054: Iter: 15000 [1], loss: 2000153.500000, acc: 0.00%, avg_loss: 1436716.462500, avg_acc: 70.27%
2017-12-27 22:51:48.688805: Iter: 15200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1388710.229453, avg_acc: 70.81%
2017-12-27 22:51:56.366804: Iter: 15400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1346850.779632, avg_acc: 71.00%
2017-12-27 22:52:04.072430: Iter: 15600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1319156.205069, avg_acc: 71.36%
2017-12-27 22:52:11.777909: Iter: 15800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1297250.331053, avg_acc: 71.58%
2017-12-27 22:52:19.473204: Iter: 16000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1275869.146437, avg_acc: 71.67%
2017-12-27 22:52:27.183459: Iter: 16200 [1], loss: 138181.500000, acc: 0.00%, avg_loss: 1257335.775000, avg_acc: 71.90%
2017-12-27 22:52:34.884796: Iter: 16400 [1], loss: 2291444.750000, acc: 0.00%, avg_loss: 1251328.615739, avg_acc: 71.84%
2017-12-27 22:52:42.589997: Iter: 16600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1238735.712228, avg_acc: 71.74%
2017-12-27 22:52:50.364169: Iter: 16800 [1], loss: 8092412.000000, acc: 0.00%, avg_loss: 1229985.305885, avg_acc: 71.73%
2017-12-27 22:52:58.152165: Iter: 17000 [1], loss: 5306510.500000, acc: 0.00%, avg_loss: 1206841.784550, avg_acc: 72.00%
2017-12-27 22:53:05.896242: Iter: 17200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1214495.249615, avg_acc: 71.87%
2017-12-27 22:53:13.643442: Iter: 17400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1206226.097778, avg_acc: 71.87%
2017-12-27 22:53:21.393155: Iter: 17600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1196850.958527, avg_acc: 71.93%
2017-12-27 22:53:29.122709: Iter: 17800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1200193.479483, avg_acc: 71.91%
2017-12-27 22:53:36.868513: Iter: 18000 [1], loss: 369901.250000, acc: 0.00%, avg_loss: 1186434.064500, avg_acc: 72.13%
2017-12-27 22:53:44.995778: Iter: 18200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1175438.978548, avg_acc: 72.24%
2017-12-27 22:53:52.693504: Iter: 18400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1163531.666133, avg_acc: 72.38%
2017-12-27 22:54:00.406376: Iter: 18600 [1], loss: 644997.000000, acc: 0.00%, avg_loss: 1156893.302386, avg_acc: 72.47%
2017-12-27 22:54:08.113512: Iter: 18800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1147120.592059, avg_acc: 72.40%
2017-12-27 22:54:15.816403: Iter: 19000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1145584.900857, avg_acc: 72.36%
2017-12-27 22:54:23.542736: Iter: 19200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1140797.342917, avg_acc: 72.49%
2017-12-27 22:54:31.273745: Iter: 19400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1136965.693682, avg_acc: 72.50%
2017-12-27 22:54:38.963955: Iter: 19600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1132364.260493, avg_acc: 72.62%
2017-12-27 22:54:46.649048: Iter: 19800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1128112.561410, avg_acc: 72.69%
2017-12-27 22:54:54.325496: Iter: 20000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1126025.047891, avg_acc: 72.66%
2017-12-27 22:55:02.010347: Iter: 20200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1123959.274192, avg_acc: 72.68%
2017-12-27 22:55:09.913896: Iter: 20400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1117892.932872, avg_acc: 72.79%
2017-12-27 22:55:17.732665: Iter: 20600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1115880.867951, avg_acc: 72.86%
2017-12-27 22:55:25.885822: Iter: 20800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1108355.895099, avg_acc: 72.89%
2017-12-27 22:55:33.678052: Iter: 21000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1110139.656625, avg_acc: 72.82%
2017-12-27 22:55:41.498477: Iter: 21200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1103719.695992, avg_acc: 72.89%
2017-12-27 22:55:49.398004: Iter: 21400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1105291.655572, avg_acc: 72.86%
2017-12-27 22:55:57.346911: Iter: 21600 [1], loss: 14477.000000, acc: 0.00%, avg_loss: 1101748.679648, avg_acc: 72.85%
2017-12-27 22:56:05.294212: Iter: 21800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1100219.045599, avg_acc: 72.87%
2017-12-27 22:56:13.250663: Iter: 22000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1102526.196363, avg_acc: 72.92%
2017-12-27 22:56:21.722184: Iter: 22200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1099884.092659, avg_acc: 72.98%
2017-12-27 22:56:29.645194: Iter: 22400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1097745.752825, avg_acc: 72.94%
2017-12-27 22:56:37.624361: Iter: 22600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1095403.235531, avg_acc: 73.00%
2017-12-27 22:56:45.571126: Iter: 22800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1092868.645891, avg_acc: 72.97%
2017-12-27 22:56:53.455466: Iter: 23000 [1], loss: 2491248.000000, acc: 0.00%, avg_loss: 1086035.588443, avg_acc: 73.07%
2017-12-27 22:57:01.186685: Iter: 23200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1077818.831752, avg_acc: 73.18%
2017-12-27 22:57:08.950505: Iter: 23400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1076473.545735, avg_acc: 73.18%
2017-12-27 22:57:16.977467: Iter: 23600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1077319.385054, avg_acc: 73.11%
2017-12-27 22:57:24.611341: Iter: 23800 [1], loss: 742759.500000, acc: 0.00%, avg_loss: 1081270.127913, avg_acc: 73.08%
2017-12-27 22:57:32.402429: Iter: 24000 [1], loss: 5750738.000000, acc: 0.00%, avg_loss: 1081692.522115, avg_acc: 73.07%
