2017-12-27 21:57:50.769086: softmax classifer
2017-12-27 21:57:50.769170: Learning rates LR: 50.000000 
2017-12-27 22:05:45.087055: Iter: 8800 [0], loss: 1448660.000000, acc: 0.00%, avg_loss: 5326621.211172, avg_acc: 39.83%
2017-12-27 22:05:55.676716: Iter: 9000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5346359.489980, avg_acc: 39.87%
2017-12-27 22:06:05.565483: Iter: 9200 [0], loss: 11826852.000000, acc: 0.00%, avg_loss: 5323069.271611, avg_acc: 40.03%
2017-12-27 22:06:16.872217: Iter: 9400 [0], loss: 9367622.000000, acc: 0.00%, avg_loss: 5316819.291204, avg_acc: 40.18%
2017-12-27 22:06:28.658556: Iter: 9600 [0], loss: 486502.000000, acc: 0.00%, avg_loss: 5286190.779929, avg_acc: 40.45%
2017-12-27 22:06:40.003903: Iter: 9800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5253018.937124, avg_acc: 40.66%
2017-12-27 22:06:51.831570: Iter: 10000 [0], loss: 19685190.000000, acc: 0.00%, avg_loss: 5253650.348082, avg_acc: 40.76%
2017-12-27 22:07:03.785099: Iter: 10200 [0], loss: 2294732.000000, acc: 0.00%, avg_loss: 5234517.034982, avg_acc: 40.99%
2017-12-27 22:07:15.733655: Iter: 10400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5225644.867771, avg_acc: 41.22%
2017-12-27 22:07:27.851437: Iter: 10600 [0], loss: 8713174.000000, acc: 0.00%, avg_loss: 5197373.801587, avg_acc: 41.43%
2017-12-27 22:07:39.806077: Iter: 10800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5164604.250238, avg_acc: 41.76%
2017-12-27 22:07:51.899143: Iter: 11000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5179678.362415, avg_acc: 41.77%
2017-12-27 22:08:03.764234: Iter: 11200 [0], loss: 3702929.000000, acc: 0.00%, avg_loss: 5165369.999113, avg_acc: 41.86%
2017-12-27 22:08:14.651370: Iter: 11400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5153472.058690, avg_acc: 42.05%
2017-12-27 22:08:24.585861: Iter: 11600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5135933.854445, avg_acc: 42.28%
2017-12-27 22:08:36.015102: Iter: 11800 [0], loss: 16570656.000000, acc: 0.00%, avg_loss: 5136881.497294, avg_acc: 42.41%
2017-12-27 22:08:47.328457: Iter: 12000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5119464.576235, avg_acc: 42.58%
2017-12-27 22:08:47.328990: 
Epoch 0: avg_Loss: 5119891.233837601729, avg_Acc: 42.586882240187
2017-12-27 22:08:47.329148: Learning rates changed LR: 1.000000 
2017-12-27 22:09:00.013198: Iter: 12200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 5774095.556250, avg_acc: 38.00%
2017-12-27 22:09:11.086700: Iter: 12400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3725794.410625, avg_acc: 53.25%
2017-12-27 22:09:22.041555: Iter: 12600 [1], loss: 3162940.500000, acc: 0.00%, avg_loss: 2994768.926250, avg_acc: 58.50%
